Instance                      Max Toggles   Total Toggles   Internal   Switching     Leakage       Total  Percentage    Cell
                              Input Pins    Output Pins     Power      Power         Power         Power  (%)           Name
----------------------------------------------------------------------------------------------------------------------------
add_dx_sub_16_U2_8                  2e+08           4e+08   0.001424   0.0006299    7.62e-05     0.00213      0.5357    FA_X1
add_dx_add_16_U1_8                  2e+08           4e+08   0.001424   0.0006298   7.488e-05    0.002129      0.5355    FA_X1
add_dx_add_16_U1_13                 2e+08           4e+08   0.001424   0.0006211   7.582e-05    0.002121      0.5334    FA_X1
add_dx_add_16_U1_10                 2e+08           4e+08   0.001423   0.0006206   7.525e-05    0.002119       0.533    FA_X1
add_dx_add_16_U1_6                  2e+08           4e+08   0.001425   0.0006149   7.319e-05    0.002113      0.5315    FA_X1
add_dx_add_16_U1_12                 2e+08           4e+08   0.001423   0.0006139   7.561e-05    0.002113      0.5314    FA_X1
add_sx_sub_16_U2_8                  2e+08           4e+08   0.001427   0.0006105    7.45e-05    0.002112      0.5311    FA_X1
add_dx_sub_16_U2_13                 2e+08           4e+08   0.001424   0.0006101   7.582e-05    0.002109      0.5305    FA_X1
add_dx_sub_16_U2_10                 2e+08           4e+08   0.001424   0.0006078   7.594e-05    0.002108      0.5302    FA_X1
add_sx_sub_16_U2_11                 2e+08           4e+08   0.001424     0.00061   7.312e-05    0.002108      0.5301    FA_X1
add_sx_sub_16_U2_9                  2e+08           4e+08   0.001424   0.0006087    7.36e-05    0.002107      0.5298    FA_X1
add_dx_sub_16_U2_12                 2e+08           4e+08   0.001424   0.0006062   7.584e-05    0.002106      0.5298    FA_X1
add_dx_add_16_U1_7                  2e+08           4e+08   0.001424   0.0006068   7.323e-05    0.002104      0.5291    FA_X1
add_dx_add_16_U1_11                 2e+08           4e+08   0.001423   0.0006033   7.556e-05    0.002102      0.5286    FA_X1
add_sx_sub_16_U2_12                 2e+08           4e+08   0.001424   0.0006038   7.303e-05    0.002101      0.5284    FA_X1
add_sx_add_16_U1_13                 2e+08           4e+08   0.001422   0.0006043   7.294e-05    0.002099       0.528    FA_X1
add_dx_add_16_U1_9                  2e+08           4e+08   0.001423   0.0005987   7.515e-05    0.002097      0.5273    FA_X1
add_dx_sub_16_U2_9                  2e+08           4e+08   0.001424   0.0005961   7.599e-05    0.002096      0.5271    FA_X1
add_sx_sub_16_U2_10                 2e+08           4e+08   0.001424   0.0005972   7.332e-05    0.002095      0.5269    FA_X1
